calories,junk_ratio,protein,carbs,fat,meal_time,activity_level,health_score,label,sleep_hours,water_intake,steps,bmi
1800,0.10,70,220,60,13,2,85,healthy,7.5,2.6,8500,22.1
2400,0.40,60,300,90,22,1,50,moderate,6.0,2.0,4200,26.4
3000,0.60,40,400,120,23,0,30,unhealthy,5.2,1.5,1800,29.8
1500,0.05,80,180,50,9,3,92,healthy,8.2,3.0,12000,21.0
2200,0.30,65,250,80,14,2,65,moderate,7.0,2.3,7000,24.5
2600,0.55,55,320,95,21,1,42,moderate,6.3,1.9,5000,27.3
1900,0.12,75,210,55,12,3,88,healthy,8.0,2.8,11000,22.4
2800,0.48,48,340,105,22,0,38,unhealthy,5.8,1.7,2600,30.6
1700,0.08,82,190,48,8,3,94,healthy,8.5,3.2,12500,20.4
2100,0.22,68,240,72,13,2,74,moderate,7.3,2.5,8000,23.6
2300,0.35,58,280,88,18,1,58,moderate,6.4,2.1,5600,25.2
3100,0.72,35,420,130,23,0,24,unhealthy,5.0,1.3,1200,31.4
1600,0.04,84,170,46,10,3,96,healthy,8.4,3.4,13000,20.1
2000,0.18,72,230,65,14,2,79,healthy,7.4,2.7,9000,22.8
2450,0.42,62,290,92,20,1,54,moderate,6.1,2.0,4500,26.1
2750,0.58,50,360,110,21,0,36,unhealthy,5.4,1.6,2200,29.2
1950,0.14,74,215,58,12,2,83,healthy,7.8,2.9,10000,23.1
2150,0.28,66,255,76,15,2,69,moderate,7.0,2.4,7600,24.0
2900,0.63,44,390,118,22,0,28,unhealthy,5.3,1.4,1600,30.1
1750,0.06,81,185,49,9,3,95,healthy,8.1,3.1,11800,21.5
